,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
MX1,4.71122921767417,5.445068950153764,4.379883472564673,6.3997155342873935,6.337332494249958,4.604144419170407,6.958058056299617,4.532356942113187,5.40651236619935,6.248338535423638,6.071952722510071,4.280764256474724,8.617734538980269,8.361781493983903,9.617426043894671,8.820484003066786,9.886695170998937,6.617843683041642,6.117275016025828,9.213332092656469,8.49832693403841,9.669644544913103,8.659474038721962,9.44902792014023
IFIT1,6.501429688030889,5.057778338705253,4.887927888784999,3.770761109458979,5.424046966359571,5.988588146934853,5.88948968837476,6.018151037936224,3.658644694808557,6.217645995601708,7.681672726819821,5.1245260110635735,6.943544568820963,6.246181297354735,6.620064408998846,7.215687618860212,8.100696499655028,9.016719614658069,6.720859378812756,7.615342361968464,5.938940721951824,9.184776739529097,7.050531755478986,7.7340060873420935
ISG15,7.425568052340114,6.103485700609088,7.849651418186172,6.808456304620073,5.515314092673309,4.759028620110231,5.811331225050873,7.108768570237375,4.458291546151063,5.321228420396683,5.07307033980036,5.523616858163152,8.287911761923963,8.372160584782732,7.741282075093338,6.602758259959835,8.64977678869059,9.266889129436274,7.5963569710134315,7.5535026265440095,8.979826421817467,9.42374730586646,8.386230393789292,7.183516496195266
OAS1,4.830398167323997,6.621103348524645,4.277288456435394,4.463205139635402,6.231273779132839,7.725680164181996,7.264378393007002,6.417783726714992,3.7017742660842483,3.2972891435475042,5.808666763766453,7.9410659170947415,7.365353781755669,9.06728912322341,8.325292899993553,7.758831081324829,8.481576925816498,5.9760038989154785,8.676191159969777,7.056078058082092,9.23738629760813,8.36940906863601,7.219277651728608,5.905517996432676
STAT1,6.317025073933562,6.5618635015620965,7.384711873907441,5.070622051999934,6.291499428361906,6.43973236966166,4.596060413817499,5.3112541865461695,4.694575802487658,4.786615434761682,5.564552394824798,5.238468864392948,7.412182960433181,8.554208490109566,8.71310170994116,9.207388372621434,7.3760827518795224,7.042423687826771,6.445764257709829,8.936395484498687,8.580198041416349,10.43775899626149,8.160921277442773,7.230753513648275
IRF7,4.804950427687385,4.525490972710417,3.8423015874778153,7.130882842098058,6.420631965620368,8.569738244603618,5.867449661290603,6.062990833761829,6.398040013575277,6.658095976121115,5.257093358393803,5.953932389432759,8.413665874767984,10.049069102601813,6.874175719360391,8.535296117646283,8.336037287352672,8.551262980003845,8.734626508867395,10.581650910316938,8.399511534650754,6.4140058076517725,6.707581585909091,7.895704510260721
IFITM1,7.0380470602781475,5.771611505153979,6.285124171380023,8.149712937498261,6.713039349986771,6.062315104504488,4.5204565724230115,6.885061839474654,6.6139762597455185,6.908189615697074,4.621845868512828,5.9652360497599295,9.027197431275306,6.547906393815651,8.21332669484625,9.819158089129223,7.096456903233204,9.587741283227325,8.265620043107557,8.851242365458608,9.084831543091198,8.246055623792515,6.493652605670141,7.977243879729514
BST2,6.3608921269415735,6.384888563251122,6.347302702984902,5.181331324407683,6.522855727410274,5.8844386549206895,7.679412073455333,6.978284215586738,6.571108298890111,5.800576464450234,5.608440405589569,5.750823771398412,8.155537587541405,9.507841389996518,6.2704810183044675,8.611555761752939,9.54613251732177,7.436183796705498,6.795906443555951,8.468952222533566,8.781037962060772,7.910512972308359,9.059209046791452,6.712119552843265
IFI44,6.037852084445244,6.102757515929045,5.642021267982465,5.6353794039655645,5.033964964551473,5.449516162303138,5.517050588309138,3.945242786050643,6.662023718019367,6.2933952990600925,7.631392951538495,4.550087529726871,6.551660311566251,9.156831024734275,7.326047798763352,8.013157065576667,7.8950326828183215,9.330950060224199,8.03304004854904,7.866783949514274,8.993111728607076,6.329633057540755,7.827276446178503,6.60056736456532
RSAD2,6.711825909430534,6.758513461793737,5.0687003440793434,5.715175789882557,6.173444926473736,4.474334190766141,6.586031338933239,4.821466469972118,4.137448506880174,6.063789604967155,6.664573080864158,6.987381923921803,8.523758369270801,7.26603689213335,9.927219335285006,7.730897541365144,6.456456271534534,10.155125124580708,8.355928994778646,9.919468264295906,10.083954448544333,8.008128367341914,6.766526487502725,7.140522517825304
